name,product_url,image_url,brand,product_mfrpn,old_price,price
Placute frana HELLA 8DB355018-131,/placute-frana-hella-8db355018-131-parts-5762737.htm,https://www.epiesa.ro/produse_2018_4/2/355018131_c.jpg,HELLA,8DB 355 018-131,125,95
Placute frana ATE 13.0460-2834.2,/placute-frana-ate-13-0460-2834-2-parts-10241490.htm,https://www.epiesa.ro/produse_2018_4/3/602834.bmp.jpg,ATE,13.0460-2834.2,138,106
Placute frana VALEO 301002,/placute-frana-valeo-301002-parts-33082263.htm,https://www.epiesa.ro/produse_2018_4/21/brake_pad_wva20772_301002.jpg,VALEO,301002,94,64
Placute frana BOSCH 0986467720,/placute-frana-bosch-0986467720-parts-61177327.htm,https://www.epiesa.ro/produse_2018_4/30/0986467720drfrwhgr00mm.jpg,BOSCH,0 986 467 720,112,86
Placute frana BOSCH 0986495212,/placute-frana-bosch-0986495212-parts-63002278.htm,https://www.epiesa.ro/produse_2018_4/30/0986495212drfrwhco00mm.jpg,BOSCH,0 986 495 212,78,54
Placute frana TEXTAR 2146304,/placute-frana-textar-2146304-parts-104808424.htm,https://www.epiesa.ro/produse_2018_4/39/21463_182__3_4_tex.jpg,TEXTAR,2146304,108,82
Placute frana JURID 571526D,/placute-frana-jurid-571526d-parts-113205047.htm,https://www.epiesa.ro/produse_2018_4/48/571526d_1593566.jpg,JURID,571526D,87,67
Placute frana JURID 571526J,/placute-frana-jurid-571526j-parts-113205222.htm,https://www.epiesa.ro/produse_2018_4/48/571526d_1593566.jpg,JURID,571526J,89,68
Kit distributie BOSCH 1987948253,/kit-distributie-bosch-1987948253-parts-69630803.htm,https://www.epiesa.ro/produse_2018_4/30/1987948253phriwhco0000.jpg,BOSCH,1 987 948 253,580,450
Set pompa apa + curea dintata CONTITECH CT1028WP1,/set-pompa-apa-curea-dintata-contitech-ct1028wp1-parts-83035024.htm,https://www.epiesa.ro/produse_2018_4/31/abbrevations_tr.bmp.jpg,CONTITECH,CT1028WP1,819,625
Set pompa apa + curea dintata CONTITECH CT1028WP2,/set-pompa-apa-curea-dintata-contitech-ct1028wp2-parts-83035864.htm,https://www.epiesa.ro/produse_2018_4/31/abbrevations_tr.bmp.jpg,CONTITECH,CT1028WP2,566,440
Set pompa apa + curea dintata CONTITECH CT1028WP3,/set-pompa-apa-curea-dintata-contitech-ct1028wp3-parts-83036829.htm,https://www.epiesa.ro/produse_2018_4/31/abbrevations_tr.bmp.jpg,CONTITECH,CT1028WP3,828,632
Filtru ulei FILTRON OP570,/filtru-ulei-filtron-op570-parts-344221517.htm,https://www.epiesa.ro/produse_2018_4/256/op570.jpg,FILTRON,OP570,21,18
Filtru ulei MAHLE ORIGINAL OC90,/filtru-ulei-mahle-original-oc90-parts-374514425.htm,https://www.epiesa.ro/produse_2018_4/287/2674641.jpg,MAHLE ORIGINAL,OC 90,21,18
Filtru ulei MAHLE ORIGINAL OC90OF,/filtru-ulei-mahle-original-oc90of-parts-374514595.htm,https://www.epiesa.ro/produse_2018_4/287/2674641.jpg,MAHLE ORIGINAL,OC 90 OF,15,14
Filtru ulei COMLINE CDW11001,/filtru-ulei-comline-cdw11001-parts-451110359.htm,/images/no-photo.jpg,COMLINE,CDW11001,21,18
Filtru ulei COMLINE EOF002,/filtru-ulei-comline-eof002-parts-451663037.htm,https://www.epiesa.ro/produse_2018_4/421/eof002-632788.jpg,COMLINE,EOF002,17,17
Filtru ulei CoopersFiaam FT5753,/filtru-ulei-coopersfiaam-ft5753-parts-462825659.htm,https://www.epiesa.ro/produse_2018_4/437/301.bmp.jpg,CoopersFiaam,FT5753,20,17
Filtru ulei STARLINE SFOF0009,/filtru-ulei-starline-sfof0009-parts-611914374.htm,https://www.epiesa.ro/produse_2018_4/4675/aksf_of0009_a.jpg,STARLINE,SF OF0009,18,16
Filtru ulei ITN FO1003,/filtru-ulei-itn-fo1003-parts-720308794.htm,/images/no-photo.jpg,ITN,FO1003,15,15
Filtru ulei QWP WOF148,/filtru-ulei-qwp-wof148-parts-720416708.htm,https://www.epiesa.ro/produse_2018_4/7000/720416708.jpg,QWP,WOF148,18,17
Filtru ulei BOSCH 0986TF0007,/filtru-ulei-bosch-0986tf0007-parts-65333994.htm,/images/no-photo.jpg,BOSCH,0 986 TF0 007,None,
Filtru ulei QUINTON HAZELL QFL0241,/filtru-ulei-quinton-hazell-qfl0241-parts-125700434.htm,https://www.epiesa.ro/produse_2018_4/57/tj_qfl0241.jpg,QUINTON HAZELL,QFL0241,None,
Filtru ulei FRAM CH8530ECO,/filtru-ulei-fram-ch8530eco-parts-128241105.htm,https://www.epiesa.ro/produse_2018_4/59/271.bmp.jpg,FRAM,CH8530ECO,None,
